Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,3,0 (0%),0 (0%),33,0
1,1,6,0 (0%),0 (0%),17,30
2,1,6,0 (0%),0 (0%),17,30
3,1,6,0 (0%),0 (0%),17,30
4,4,9,1 (100%),0 (0%),44,30
5,4,12,1 (100%),0 (0%),33,30
6,4,13,1 (100%),0 (0%),31,30
7,3,13,1 (100%),0 (0%),23,31
8,3,13,1 (100%),0 (0%),23,31
9,3,14,1 (100%),0 (0%),21,32
10,3,14,1 (100%),0 (0%),21,32
11,5,14,1 (100%),0 (0%),36,33
12,5,14,1 (100%),0 (0%),36,33
13,3,14,1 (100%),0 (0%),21,33
14,3,14,1 (100%),0 (0%),21,33
15,2,15,1 (100%),0 (0%),13,33
16,2,15,1 (100%),0 (0%),13,33
17,2,15,1 (100%),0 (0%),13,33
18,2,15,1 (100%),0 (0%),13,34
19,2,15,1 (100%),0 (0%),13,35
20,2,15,1 (100%),0 (0%),13,35
21,2,15,1 (100%),0 (0%),13,35
22,2,15,1 (100%),0 (0%),13,35
23,2,15,1 (100%),0 (0%),13,35
24,2,18,1 (100%),0 (0%),11,35
25,7,15,2 (100%),0 (0%),47,35
26,8,14,2 (100%),0 (0%),57,35
27,8,13,2 (100%),0 (0%),62,35
28,7,12,2 (100%),0 (0%),58,34
29,9,12,2 (100%),0 (0%),75,35
30,7,12,2 (100%),0 (0%),58,35
31,9,12,2 (100%),0 (0%),75,35
32,9,12,2 (100%),0 (0%),75,35
33,9,11,2 (100%),0 (0%),82,35
34,9,11,2 (100%),0 (0%),82,36
35,10,11,2 (100%),0 (0%),91,36
36,10,11,2 (100%),0 (0%),91,36
37,10,11,2 (100%),0 (0%),91,36
38,10,11,3 (100%),0 (0%),91,36
39,10,11,3 (100%),0 (0%),91,36
40,10,11,3 (100%),0 (0%),91,36
41,10,11,3 (100%),0 (0%),91,36
42,10,11,3 (100%),0 (0%),91,35
43,10,11,3 (100%),0 (0%),91,34
44,10,11,3 (100%),0 (0%),91,34
45,10,11,3 (100%),0 (0%),91,33
46,10,11,3 (100%),0 (0%),91,33
47,10,11,3 (100%),0 (0%),91,33
48,10,11,3 (100%),0 (0%),91,33
49,10,11,3 (100%),0 (0%),91,33
50,10,11,3 (100%),0 (0%),91,32
51,10,11,3 (100%),0 (0%),91,32
52,10,11,3 (100%),0 (0%),91,32
53,10,11,3 (100%),0 (0%),91,31
54,10,11,4 (100%),0 (0%),91,31
55,10,11,4 (100%),0 (0%),91,31
56,10,11,4 (100%),0 (0%),91,31
57,10,11,4 (100%),0 (0%),91,32
58,10,11,4 (100%),0 (0%),91,32
59,10,11,5 (100%),0 (0%),91,32
