Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,3,0 (0%),0 (0%),33,0
1,1,3,0 (0%),0 (0%),33,30
2,4,6,1 (100%),0 (0%),67,30
3,4,6,1 (100%),0 (0%),67,30
4,7,9,1 (100%),0 (0%),78,30
5,9,12,1 (100%),0 (0%),75,30
6,11,13,1 (100%),0 (0%),85,30
7,11,13,1 (100%),0 (0%),85,30
8,11,13,1 (100%),0 (0%),85,30
9,11,13,1 (100%),0 (0%),85,30
10,8,13,1 (100%),0 (0%),62,29
11,10,13,1 (100%),0 (0%),77,29
12,10,13,1 (100%),0 (0%),77,29
13,9,14,2 (100%),0 (0%),64,29
14,10,14,2 (100%),0 (0%),71,29
15,8,15,2 (100%),0 (0%),53,29
16,7,15,2 (100%),0 (0%),47,29
17,6,15,2 (100%),0 (0%),40,29
18,5,15,2 (100%),0 (0%),33,29
19,5,15,2 (100%),0 (0%),33,30
20,7,15,2 (100%),0 (0%),47,30
21,5,15,2 (100%),0 (0%),33,30
22,5,15,2 (100%),0 (0%),33,30
