Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,11,0 (0%),0 (0%),9,29
1,1,11,0 (0%),0 (0%),9,30
2,1,12,0 (0%),0 (0%),8,30
3,4,12,1 (100%),0 (0%),33,30
4,4,12,1 (100%),0 (0%),33,30
5,3,15,1 (100%),0 (0%),20,29
6,3,15,1 (100%),0 (0%),20,28
7,3,15,1 (100%),0 (0%),20,28
8,2,15,1 (100%),0 (0%),13,29
9,1,15,1 (100%),0 (0%),7,29
10,1,15,1 (100%),0 (0%),7,29
11,1,15,1 (100%),0 (0%),7,28
12,1,15,1 (100%),0 (0%),7,28
13,1,15,1 (100%),0 (0%),7,29
14,1,15,1 (100%),0 (0%),7,29
15,1,15,1 (100%),0 (0%),7,29
16,1,15,1 (100%),0 (0%),7,29
17,3,15,2 (100%),0 (0%),20,29
