Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,13,0 (0%),0 (0%),8
1,1,13,0 (0%),0 (0%),8
2,1,13,0 (0%),0 (0%),8
3,1,13,0 (0%),0 (0%),8
4,1,13,0 (0%),0 (0%),8
5,1,13,0 (0%),0 (0%),8
6,1,13,0 (0%),0 (0%),8
7,1,13,0 (0%),0 (0%),8
8,1,13,0 (0%),0 (0%),8
9,1,13,0 (0%),0 (0%),8
10,1,13,0 (0%),0 (0%),8
11,1,13,0 (0%),0 (0%),8
12,1,13,0 (0%),0 (0%),8
13,1,16,0 (0%),0 (0%),6
14,1,16,0 (0%),0 (0%),6
15,1,16,0 (0%),0 (0%),6
16,1,16,0 (0%),0 (0%),6
17,1,19,0 (0%),0 (0%),5
18,1,19,0 (0%),0 (0%),5
19,1,22,0 (0%),0 (0%),5
20,1,28,0 (0%),0 (0%),4
21,1,28,0 (0%),0 (0%),4
22,1,28,0 (0%),0 (0%),4
23,1,28,0 (0%),0 (0%),4
24,1,28,0 (0%),0 (0%),4
25,1,28,0 (0%),0 (0%),4
26,1,28,0 (0%),0 (0%),4
27,1,30,0 (0%),0 (0%),3
28,1,30,0 (0%),0 (0%),3
29,1,30,0 (0%),0 (0%),3
30,1,30,0 (0%),0 (0%),3
31,1,30,0 (0%),0 (0%),3
32,3,30,0 (0%),1 (100%),10
33,3,30,0 (0%),1 (100%),10
34,3,30,0 (0%),1 (100%),10
35,3,30,0 (0%),1 (100%),10
36,3,30,0 (0%),1 (100%),10
37,3,30,0 (0%),1 (100%),10
38,3,30,0 (0%),1 (100%),10
39,3,30,0 (0%),1 (100%),10
40,3,30,0 (0%),1 (100%),10
41,3,30,0 (0%),1 (100%),10
42,3,30,0 (0%),1 (100%),10
43,3,30,0 (0%),1 (100%),10
44,3,30,0 (0%),1 (100%),10
45,3,30,0 (0%),1 (100%),10
46,3,30,0 (0%),1 (100%),10
47,3,30,0 (0%),1 (100%),10
48,3,30,0 (0%),1 (100%),10
49,3,30,0 (0%),1 (100%),10
50,3,30,0 (0%),1 (100%),10
51,3,30,0 (0%),1 (100%),10
52,3,30,0 (0%),1 (100%),10
53,3,30,0 (0%),1 (100%),10
54,3,30,0 (0%),1 (100%),10
55,3,30,0 (0%),1 (100%),10
56,3,29,0 (0%),1 (100%),10
57,3,29,0 (0%),1 (100%),10
58,3,28,0 (0%),1 (100%),11
