Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,10,0 (0%),0 (0%),10
1,1,10,0 (0%),0 (0%),10
2,1,10,0 (0%),0 (0%),10
3,1,10,0 (0%),0 (0%),10
4,1,10,0 (0%),0 (0%),10
5,1,10,0 (0%),0 (0%),10
6,1,10,0 (0%),0 (0%),10
7,1,10,0 (0%),0 (0%),10
8,1,10,0 (0%),0 (0%),10
9,1,10,0 (0%),0 (0%),10
10,1,10,0 (0%),0 (0%),10
11,1,13,0 (0%),0 (0%),8
12,1,13,0 (0%),0 (0%),8
13,1,13,0 (0%),0 (0%),8
14,1,13,0 (0%),0 (0%),8
15,1,22,0 (0%),0 (0%),5
16,1,22,0 (0%),0 (0%),5
17,1,22,0 (0%),0 (0%),5
18,1,22,0 (0%),0 (0%),5
19,1,22,0 (0%),0 (0%),5
20,3,24,1 (100%),0 (0%),12
21,2,24,1 (100%),0 (0%),8
22,2,24,1 (100%),0 (0%),8
23,2,24,1 (100%),0 (0%),8
24,2,25,1 (100%),0 (0%),8
25,2,25,1 (100%),0 (0%),8
26,2,25,1 (100%),0 (0%),8
27,2,25,1 (100%),0 (0%),8
28,2,25,1 (100%),0 (0%),8
29,2,25,1 (100%),0 (0%),8
30,2,26,1 (100%),0 (0%),8
31,2,26,1 (100%),0 (0%),8
32,2,27,1 (100%),0 (0%),7
33,1,27,1 (100%),0 (0%),4
34,1,27,1 (100%),0 (0%),4
35,1,27,1 (100%),0 (0%),4
36,1,27,1 (100%),0 (0%),4
37,1,27,1 (100%),0 (0%),4
38,1,27,1 (100%),0 (0%),4
39,1,27,1 (100%),0 (0%),4
40,1,29,1 (100%),0 (0%),3
41,1,29,1 (100%),0 (0%),3
42,1,29,1 (100%),0 (0%),3
43,1,29,1 (100%),0 (0%),3
44,1,29,1 (100%),0 (0%),3
45,1,30,1 (100%),0 (0%),3
46,1,30,1 (100%),0 (0%),3
47,1,30,1 (100%),0 (0%),3
48,1,30,1 (100%),0 (0%),3
49,1,30,1 (100%),0 (0%),3
50,1,30,1 (100%),0 (0%),3
51,1,30,1 (100%),0 (0%),3
52,3,30,2 (100%),0 (0%),10
53,3,30,2 (100%),0 (0%),10
54,3,29,2 (100%),0 (0%),10
55,2,29,2 (100%),0 (0%),7
56,2,30,2 (100%),0 (0%),7
57,2,30,2 (100%),0 (0%),7
58,2,30,2 (100%),0 (0%),7
59,1,27,2 (100%),0 (0%),4
60,1,28,2 (100%),0 (0%),4
61,1,28,2 (100%),0 (0%),4
62,1,28,2 (100%),0 (0%),4
63,1,28,2 (100%),0 (0%),4
64,1,29,2 (100%),0 (0%),3
65,1,29,2 (100%),0 (0%),3
66,1,29,2 (100%),0 (0%),3
67,1,29,2 (100%),0 (0%),3
68,1,29,2 (100%),0 (0%),3
69,1,30,2 (100%),0 (0%),3
70,1,30,2 (100%),0 (0%),3
71,1,30,2 (100%),0 (0%),3
72,1,30,2 (100%),0 (0%),3
73,1,30,2 (100%),0 (0%),3
74,1,30,2 (100%),0 (0%),3
75,1,30,2 (100%),0 (0%),3
76,1,30,2 (100%),0 (0%),3
77,3,30,2 (67%),1 (33%),10
78,3,30,2 (67%),1 (33%),10
79,3,30,2 (67%),1 (33%),10
80,3,30,2 (67%),1 (33%),10
81,1,30,2 (67%),1 (33%),3
82,1,30,2 (67%),1 (33%),3
83,1,30,2 (67%),1 (33%),3
84,1,30,2 (67%),1 (33%),3
85,1,29,2 (67%),1 (33%),3
86,1,30,2 (67%),1 (33%),3
87,1,30,2 (67%),1 (33%),3
88,1,30,2 (67%),1 (33%),3
89,1,30,2 (67%),1 (33%),3
90,1,30,2 (67%),1 (33%),3
91,1,30,2 (67%),1 (33%),3
92,1,28,2 (67%),1 (33%),4
93,3,28,3 (75%),1 (25%),11
94,3,28,3 (75%),1 (25%),11
95,3,28,3 (75%),1 (25%),11
96,2,28,3 (75%),1 (25%),7
97,2,28,3 (75%),1 (25%),7
98,2,28,3 (75%),1 (25%),7
