Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,13,0 (0%),0 (0%),8
1,1,13,0 (0%),0 (0%),8
2,1,13,0 (0%),0 (0%),8
3,1,13,0 (0%),0 (0%),8
4,1,13,0 (0%),0 (0%),8
5,1,13,0 (0%),0 (0%),8
6,1,13,0 (0%),0 (0%),8
7,1,13,0 (0%),0 (0%),8
8,1,13,0 (0%),0 (0%),8
9,1,13,0 (0%),0 (0%),8
10,1,16,0 (0%),0 (0%),6
11,1,16,0 (0%),0 (0%),6
12,1,16,0 (0%),0 (0%),6
13,1,22,0 (0%),0 (0%),5
14,1,22,0 (0%),0 (0%),5
15,4,25,1 (100%),0 (0%),16
16,4,25,1 (100%),0 (0%),16
17,4,25,1 (100%),0 (0%),16
18,4,25,1 (100%),0 (0%),16
19,4,28,1 (100%),0 (0%),14
20,3,29,1 (100%),0 (0%),10
21,3,29,1 (100%),0 (0%),10
22,3,30,1 (100%),0 (0%),10
23,3,30,1 (100%),0 (0%),10
24,3,30,1 (100%),0 (0%),10
25,3,30,1 (100%),0 (0%),10
26,3,30,1 (100%),0 (0%),10
27,3,30,1 (100%),0 (0%),10
28,3,30,1 (100%),0 (0%),10
29,3,30,1 (100%),0 (0%),10
30,3,30,1 (100%),0 (0%),10
31,3,30,1 (100%),0 (0%),10
32,5,30,1 (50%),1 (50%),17
33,5,30,1 (50%),1 (50%),17
34,3,30,1 (50%),1 (50%),10
35,3,30,1 (50%),1 (50%),10
36,3,30,1 (50%),1 (50%),10
37,3,30,1 (50%),1 (50%),10
38,3,30,1 (50%),1 (50%),10
39,3,30,1 (50%),1 (50%),10
40,3,30,1 (50%),1 (50%),10
41,3,33,1 (50%),1 (50%),9
42,3,30,1 (50%),1 (50%),10
43,3,30,1 (50%),1 (50%),10
44,3,30,1 (50%),1 (50%),10
45,3,30,1 (50%),1 (50%),10
46,3,30,1 (50%),1 (50%),10
47,3,30,1 (50%),1 (50%),10
48,3,30,1 (50%),1 (50%),10
49,3,30,1 (50%),1 (50%),10
50,3,30,1 (50%),1 (50%),10
51,5,30,1 (33%),2 (67%),17
52,5,28,1 (33%),2 (67%),18
53,5,28,1 (33%),2 (67%),18
54,5,28,1 (33%),2 (67%),18
55,5,28,1 (33%),2 (67%),18
56,5,28,1 (33%),2 (67%),18
57,5,28,1 (33%),2 (67%),18
58,5,28,1 (33%),2 (67%),18
59,4,26,1 (33%),2 (67%),15
60,3,27,1 (33%),2 (67%),11
61,3,27,1 (33%),2 (67%),11
62,3,27,1 (33%),2 (67%),11
63,5,27,2 (50%),2 (50%),19
64,5,27,2 (50%),2 (50%),19
65,4,27,2 (50%),2 (50%),15
66,4,27,2 (50%),2 (50%),15
67,4,27,2 (50%),2 (50%),15
68,4,27,2 (50%),2 (50%),15
69,4,27,2 (50%),2 (50%),15
70,3,26,2 (50%),2 (50%),12
71,3,27,2 (50%),2 (50%),11
72,3,27,2 (50%),2 (50%),11
73,3,30,2 (50%),2 (50%),10
74,3,28,2 (50%),2 (50%),11
75,2,29,2 (50%),2 (50%),7
76,2,29,2 (50%),2 (50%),7
77,5,29,3 (60%),2 (40%),17
78,5,28,3 (60%),2 (40%),18
79,5,28,3 (60%),2 (40%),18
80,5,28,3 (60%),2 (40%),18
81,5,28,3 (60%),2 (40%),18
82,5,28,3 (60%),2 (40%),18
83,5,27,3 (60%),2 (40%),19
84,4,26,3 (60%),2 (40%),15
85,4,26,3 (60%),2 (40%),15
86,4,27,3 (60%),2 (40%),15
87,4,27,3 (60%),2 (40%),15
88,4,27,3 (60%),2 (40%),15
89,4,26,3 (60%),2 (40%),15
90,4,26,3 (60%),2 (40%),15
91,4,26,3 (60%),2 (40%),15
92,4,26,3 (60%),2 (40%),15
93,4,27,3 (60%),2 (40%),15
94,4,27,3 (60%),2 (40%),15
95,4,27,3 (60%),2 (40%),15
96,4,27,3 (60%),2 (40%),15
97,4,27,3 (60%),2 (40%),15
98,4,27,3 (60%),2 (40%),15
