Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,5,6,4 (100%),0 (0%),83,12
1,5,6,4 (100%),0 (0%),83,13
2,5,6,4 (100%),0 (0%),83,13
3,5,6,4 (100%),0 (0%),83,13
4,5,6,4 (100%),0 (0%),83,13
5,5,6,4 (100%),0 (0%),83,14
6,5,6,4 (100%),0 (0%),83,14
7,5,6,4 (100%),0 (0%),83,14
8,4,7,4 (100%),0 (0%),57,14
9,4,7,4 (100%),0 (0%),57,13
10,4,7,4 (100%),0 (0%),57,12
11,4,7,4 (100%),0 (0%),57,12
12,4,7,4 (100%),0 (0%),57,12
13,4,8,4 (100%),0 (0%),50,12
14,4,8,4 (100%),0 (0%),50,12
15,3,8,4 (100%),0 (0%),38,12
16,2,7,4 (100%),0 (0%),29,12
17,2,7,4 (100%),0 (0%),29,12
18,2,7,4 (100%),0 (0%),29,12
19,2,7,4 (100%),0 (0%),29,13
20,2,7,4 (100%),0 (0%),29,13
21,2,7,4 (100%),0 (0%),29,13
