Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,10,0 (0%),0 (0%),10
1,1,10,0 (0%),0 (0%),10
2,1,10,0 (0%),0 (0%),10
3,1,10,0 (0%),0 (0%),10
4,1,10,0 (0%),0 (0%),10
5,1,10,0 (0%),0 (0%),10
6,1,10,0 (0%),0 (0%),10
7,1,10,0 (0%),0 (0%),10
8,1,10,0 (0%),0 (0%),10
9,1,10,0 (0%),0 (0%),10
10,1,10,0 (0%),0 (0%),10
11,1,10,0 (0%),0 (0%),11
12,1,10,0 (0%),0 (0%),11
13,1,10,0 (0%),0 (0%),11
14,1,10,0 (0%),0 (0%),11
15,1,15,0 (0%),0 (0%),7
16,1,15,0 (0%),0 (0%),7
17,1,15,0 (0%),0 (0%),7
18,1,15,0 (0%),0 (0%),7
19,1,14,0 (0%),0 (0%),7
20,1,14,0 (0%),0 (0%),7
21,1,17,0 (0%),0 (0%),6
22,1,17,0 (0%),0 (0%),6
23,1,17,0 (0%),0 (0%),6
24,1,20,0 (0%),0 (0%),5
25,1,22,0 (0%),0 (0%),5
26,4,24,1 (100%),0 (0%),17
27,4,24,1 (100%),0 (0%),17
28,4,24,1 (100%),0 (0%),17
29,4,21,1 (100%),0 (0%),19
30,4,24,1 (100%),0 (0%),17
31,3,25,1 (100%),0 (0%),12
32,3,25,1 (100%),0 (0%),12
33,3,25,1 (100%),0 (0%),12
34,3,25,1 (100%),0 (0%),12
35,3,25,1 (100%),0 (0%),12
36,3,24,1 (100%),0 (0%),12
37,3,24,1 (100%),0 (0%),12
38,3,23,1 (100%),0 (0%),13
39,3,24,1 (100%),0 (0%),12
40,3,24,1 (100%),0 (0%),12
41,3,23,1 (100%),0 (0%),13
42,3,22,1 (100%),0 (0%),14
43,3,25,1 (100%),0 (0%),12
44,3,24,1 (100%),0 (0%),12
45,3,24,1 (100%),0 (0%),12
46,3,24,1 (100%),0 (0%),12
47,3,24,1 (100%),0 (0%),12
48,3,23,1 (100%),0 (0%),13
49,3,22,1 (100%),0 (0%),14
50,3,22,1 (100%),0 (0%),14
51,3,22,1 (100%),0 (0%),14
52,5,24,1 (50%),1 (50%),21
53,5,24,1 (50%),1 (50%),21
54,5,25,1 (50%),1 (50%),20
55,5,25,1 (50%),1 (50%),20
56,4,23,1 (50%),1 (50%),17
57,2,24,1 (50%),1 (50%),8
58,2,23,1 (50%),1 (50%),9
59,2,23,1 (50%),1 (50%),9
60,2,22,1 (50%),1 (50%),9
61,2,22,1 (50%),1 (50%),9
62,2,22,1 (50%),1 (50%),9
63,2,22,1 (50%),1 (50%),9
64,2,21,1 (50%),1 (50%),10
65,1,18,1 (50%),1 (50%),6
66,1,18,1 (50%),1 (50%),6
67,1,18,1 (50%),1 (50%),6
68,1,18,1 (50%),1 (50%),6
69,1,23,1 (50%),1 (50%),5
70,1,24,1 (50%),1 (50%),4
71,1,21,1 (50%),1 (50%),5
72,1,21,1 (50%),1 (50%),5
73,1,25,1 (50%),1 (50%),4
74,1,24,1 (50%),1 (50%),4
75,1,24,1 (50%),1 (50%),4
76,1,24,1 (50%),1 (50%),4
77,1,23,1 (50%),1 (50%),4
78,1,22,1 (50%),1 (50%),5
79,4,24,2 (67%),1 (33%),17
80,4,24,2 (67%),1 (33%),17
81,4,25,2 (67%),1 (33%),16
82,4,24,2 (67%),1 (33%),17
83,3,25,2 (67%),1 (33%),12
84,2,25,2 (67%),1 (33%),8
85,2,25,2 (67%),1 (33%),8
86,2,25,2 (67%),1 (33%),8
87,2,24,2 (67%),1 (33%),8
88,1,24,2 (67%),1 (33%),4
89,1,24,2 (67%),1 (33%),4
90,1,23,2 (67%),1 (33%),4
91,3,23,3 (75%),1 (25%),13
92,3,23,3 (75%),1 (25%),13
93,3,22,3 (75%),1 (25%),14
94,3,22,3 (75%),1 (25%),14
95,3,24,3 (75%),1 (25%),12
96,3,25,3 (75%),1 (25%),12
97,3,25,3 (75%),1 (25%),12
98,2,25,3 (75%),1 (25%),8
99,2,25,3 (75%),1 (25%),8
100,2,25,3 (75%),1 (25%),8
101,2,21,3 (75%),1 (25%),10
102,2,23,3 (75%),1 (25%),9
103,2,23,3 (75%),1 (25%),9
104,2,22,3 (75%),1 (25%),9
105,2,20,3 (75%),1 (25%),11
106,2,20,3 (75%),1 (25%),11
107,2,19,3 (75%),1 (25%),11
108,1,23,3 (75%),1 (25%),4
