Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,13,0 (0%),0 (0%),8
1,1,13,0 (0%),0 (0%),8
2,1,13,0 (0%),0 (0%),8
3,1,13,0 (0%),0 (0%),8
4,1,13,0 (0%),0 (0%),8
5,1,13,0 (0%),0 (0%),8
6,1,13,0 (0%),0 (0%),8
7,1,13,0 (0%),0 (0%),8
8,1,13,0 (0%),0 (0%),8
9,1,13,0 (0%),0 (0%),8
10,1,13,0 (0%),0 (0%),8
11,1,13,0 (0%),0 (0%),8
12,1,13,0 (0%),0 (0%),8
13,1,13,0 (0%),0 (0%),8
14,4,16,1 (100%),0 (0%),25
15,4,16,1 (100%),0 (0%),25
16,4,19,1 (100%),0 (0%),21
17,4,22,1 (100%),0 (0%),18
18,4,25,1 (100%),0 (0%),16
19,4,25,1 (100%),0 (0%),16
20,4,25,1 (100%),0 (0%),16
21,4,25,1 (100%),0 (0%),16
22,4,28,1 (100%),0 (0%),14
23,4,28,1 (100%),0 (0%),14
24,4,28,1 (100%),0 (0%),14
25,4,28,1 (100%),0 (0%),14
26,4,28,1 (100%),0 (0%),14
27,9,28,2 (100%),0 (0%),32
28,9,28,2 (100%),0 (0%),32
29,9,28,2 (100%),0 (0%),32
30,9,28,2 (100%),0 (0%),32
31,7,28,2 (100%),0 (0%),25
32,7,28,2 (100%),0 (0%),25
33,7,28,2 (100%),0 (0%),25
34,7,28,2 (100%),0 (0%),25
35,7,28,2 (100%),0 (0%),25
36,7,28,2 (100%),0 (0%),25
37,7,29,2 (100%),0 (0%),24
38,7,29,2 (100%),0 (0%),24
39,7,29,2 (100%),0 (0%),24
40,7,29,2 (100%),0 (0%),24
41,10,30,2 (100%),0 (0%),33
42,14,30,3 (100%),0 (0%),47
43,14,30,3 (100%),0 (0%),47
44,14,30,3 (100%),0 (0%),47
45,14,30,3 (100%),0 (0%),47
46,12,30,3 (100%),0 (0%),40
47,13,30,3 (100%),0 (0%),43
48,13,30,3 (100%),0 (0%),43
49,13,30,3 (100%),0 (0%),43
50,14,29,3 (100%),0 (0%),48
51,15,28,3 (100%),0 (0%),54
52,15,28,3 (100%),0 (0%),54
53,16,28,3 (100%),0 (0%),57
54,16,26,3 (100%),0 (0%),62
55,16,26,3 (100%),0 (0%),62
56,16,26,3 (100%),0 (0%),64
57,17,26,3 (100%),0 (0%),65
58,21,27,4 (100%),0 (0%),78
59,20,26,4 (100%),0 (0%),77
60,19,28,4 (100%),0 (0%),68
61,19,28,4 (100%),0 (0%),68
62,19,28,4 (100%),0 (0%),68
63,19,28,4 (100%),0 (0%),68
64,20,27,4 (100%),0 (0%),74
65,20,27,4 (100%),0 (0%),74
66,20,27,4 (100%),0 (0%),74
67,22,28,4 (100%),0 (0%),79
68,26,29,5 (100%),0 (0%),90
69,26,29,5 (100%),0 (0%),90
70,26,29,5 (100%),0 (0%),90
71,26,29,5 (100%),0 (0%),90
72,26,29,5 (100%),0 (0%),90
73,26,29,5 (100%),0 (0%),90
74,26,29,5 (100%),0 (0%),90
75,26,29,5 (100%),0 (0%),90
76,26,29,5 (100%),0 (0%),90
77,26,29,5 (100%),0 (0%),90
78,26,29,5 (100%),0 (0%),90
79,26,29,6 (100%),0 (0%),90
80,26,29,6 (100%),0 (0%),90
81,26,29,6 (100%),0 (0%),90
82,26,29,6 (100%),0 (0%),90
83,26,29,6 (100%),0 (0%),90
84,26,29,6 (100%),0 (0%),90
85,27,30,6 (100%),0 (0%),90
86,27,30,6 (100%),0 (0%),90
87,27,30,6 (100%),0 (0%),90
88,27,30,6 (100%),0 (0%),90
89,27,30,6 (100%),0 (0%),90
90,27,30,6 (100%),0 (0%),90
91,27,29,6 (100%),0 (0%),93
92,27,29,6 (100%),0 (0%),93
93,27,29,6 (100%),0 (0%),93
94,28,30,6 (100%),0 (0%),93
95,28,30,6 (100%),0 (0%),93
96,28,30,6 (100%),0 (0%),93
97,28,30,7 (100%),0 (0%),93
98,28,30,7 (100%),0 (0%),93
