Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,0,0,0 (0%),0 (0%),0,0
0,0,0,0 (0%),0 (0%),0,38
0,0,0,0 (0%),0 (0%),0,38
0,0,0,0 (0%),0 (0%),0,38
0,0,0,0 (0%),0 (0%),0,38
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,36
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
0,0,0,0 (0%),0 (0%),0,37
