Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,23,0 (0%),0 (0%),4,23
1,1,23,0 (0%),0 (0%),4,25
2,4,24,1 (100%),0 (0%),17,25
3,3,24,1 (100%),0 (0%),12,25
4,3,24,1 (100%),0 (0%),12,25
5,3,25,1 (100%),0 (0%),12,26
6,4,23,1 (100%),0 (0%),17,26
7,4,23,1 (100%),0 (0%),17,25
8,5,23,1 (100%),0 (0%),22,25
9,6,25,1 (100%),0 (0%),24,25
10,11,27,1 (100%),0 (0%),41,25
11,12,26,1 (100%),0 (0%),46,26
12,12,26,1 (100%),0 (0%),46,25
13,12,26,1 (100%),0 (0%),46,25
14,13,27,1 (100%),0 (0%),48,25
15,17,28,1 (100%),0 (0%),61,25
16,17,27,1 (100%),0 (0%),63,25
17,20,30,1 (100%),0 (0%),67,25
18,20,30,1 (100%),0 (0%),67,26
19,21,29,1 (100%),0 (0%),72,26
20,19,27,1 (100%),0 (0%),70,27
21,18,29,1 (100%),0 (0%),62,27
22,19,30,1 (100%),0 (0%),63,27
23,20,30,2 (100%),0 (0%),67,27
24,20,30,2 (100%),0 (0%),67,28
25,20,30,2 (100%),0 (0%),67,28
26,19,29,2 (100%),0 (0%),66,28
27,17,29,2 (100%),0 (0%),59,27
