Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),14
1,1,7,0 (0%),0 (0%),14
2,1,7,0 (0%),0 (0%),14
3,1,7,0 (0%),0 (0%),14
4,1,7,0 (0%),0 (0%),14
5,1,7,0 (0%),0 (0%),14
6,1,6,0 (0%),0 (0%),17
7,4,9,1 (100%),0 (0%),44
8,4,9,1 (100%),0 (0%),44
9,4,9,1 (100%),0 (0%),44
10,4,9,1 (100%),0 (0%),44
11,4,8,1 (100%),0 (0%),50
12,4,8,1 (100%),0 (0%),50
13,4,8,1 (100%),0 (0%),50
14,4,8,1 (100%),0 (0%),50
15,4,8,1 (100%),0 (0%),50
16,4,8,1 (100%),0 (0%),50
17,3,6,1 (100%),0 (0%),50
18,3,5,1 (100%),0 (0%),60
19,3,5,1 (100%),0 (0%),60
20,2,4,1 (100%),0 (0%),50
21,2,7,1 (100%),0 (0%),29
22,1,6,1 (100%),0 (0%),17
23,4,9,2 (100%),0 (0%),44
24,4,8,2 (100%),0 (0%),50
25,4,8,2 (100%),0 (0%),50
26,4,8,2 (100%),0 (0%),50
27,4,8,2 (100%),0 (0%),50
28,4,8,2 (100%),0 (0%),50
29,4,8,2 (100%),0 (0%),50
30,4,11,2 (100%),0 (0%),36
31,4,11,2 (100%),0 (0%),36
32,3,10,2 (100%),0 (0%),30
33,3,10,2 (100%),0 (0%),30
34,3,10,2 (100%),0 (0%),30
35,3,10,2 (100%),0 (0%),30
36,2,9,2 (100%),0 (0%),22
37,2,9,2 (100%),0 (0%),22
38,2,8,2 (100%),0 (0%),25
39,2,11,2 (100%),0 (0%),18
40,5,14,2 (100%),0 (0%),36
41,5,13,2 (100%),0 (0%),38
42,5,13,2 (100%),0 (0%),42
43,7,15,3 (100%),0 (0%),47
44,7,15,3 (100%),0 (0%),47
45,7,15,3 (100%),0 (0%),47
46,7,18,3 (100%),0 (0%),39
47,6,17,3 (100%),0 (0%),35
48,6,17,3 (100%),0 (0%),35
49,6,17,3 (100%),0 (0%),35
50,6,17,3 (100%),0 (0%),35
51,6,20,3 (100%),0 (0%),30
52,9,22,3 (100%),0 (0%),41
53,8,21,3 (100%),0 (0%),38
54,8,23,3 (100%),0 (0%),35
55,8,22,3 (100%),0 (0%),36
56,8,24,3 (100%),0 (0%),33
57,10,25,3 (100%),0 (0%),40
58,7,24,3 (100%),0 (0%),29
59,7,24,3 (100%),0 (0%),29
60,7,24,3 (100%),0 (0%),29
61,7,23,3 (100%),0 (0%),30
62,9,24,3 (100%),0 (0%),38
63,9,24,3 (100%),0 (0%),38
64,7,21,3 (100%),0 (0%),33
65,9,26,3 (100%),0 (0%),35
66,8,28,3 (100%),0 (0%),29
67,8,28,3 (100%),0 (0%),29
68,6,25,3 (100%),0 (0%),24
69,6,24,3 (100%),0 (0%),25
70,6,23,3 (100%),0 (0%),26
71,6,23,3 (100%),0 (0%),26
72,12,27,4 (100%),0 (0%),44
73,12,26,4 (100%),0 (0%),46
74,13,27,4 (100%),0 (0%),48
75,12,25,4 (100%),0 (0%),48
76,12,25,4 (100%),0 (0%),48
77,10,24,4 (100%),0 (0%),42
78,9,26,4 (100%),0 (0%),35
79,8,26,4 (100%),0 (0%),31
80,8,25,4 (100%),0 (0%),32
81,7,24,4 (100%),0 (0%),29
82,7,24,4 (100%),0 (0%),29
83,7,22,4 (100%),0 (0%),32
84,7,20,4 (100%),0 (0%),35
85,7,20,4 (100%),0 (0%),35
86,7,25,4 (100%),0 (0%),28
87,9,24,4 (100%),0 (0%),38
88,10,23,4 (100%),0 (0%),43
89,12,24,5 (100%),0 (0%),50
90,13,25,5 (100%),0 (0%),52
91,12,23,5 (100%),0 (0%),52
92,12,21,5 (100%),0 (0%),57
93,11,20,5 (100%),0 (0%),55
94,11,20,5 (100%),0 (0%),55
95,10,24,5 (100%),0 (0%),42
96,9,25,5 (100%),0 (0%),36
97,9,24,5 (100%),0 (0%),38
98,7,22,5 (100%),0 (0%),32
99,7,22,5 (100%),0 (0%),32
100,7,22,5 (100%),0 (0%),32
101,7,20,5 (100%),0 (0%),35
102,6,19,5 (100%),0 (0%),32
103,6,19,5 (100%),0 (0%),32
104,5,16,5 (100%),0 (0%),31
105,5,16,5 (100%),0 (0%),31
106,4,13,5 (100%),0 (0%),31
107,7,16,6 (100%),0 (0%),44
108,6,18,6 (100%),0 (0%),33
109,6,18,6 (100%),0 (0%),33
110,9,21,6 (100%),0 (0%),43
111,8,20,6 (100%),0 (0%),40
112,7,19,6 (100%),0 (0%),37
113,7,22,6 (100%),0 (0%),32
114,6,21,6 (100%),0 (0%),29
115,5,21,6 (100%),0 (0%),24
116,5,21,6 (100%),0 (0%),24
117,8,22,7 (100%),0 (0%),36
118,8,21,7 (100%),0 (0%),38
119,8,20,7 (100%),0 (0%),40
120,10,18,7 (100%),0 (0%),56
121,12,22,7 (100%),0 (0%),55
122,12,22,7 (100%),0 (0%),55
123,10,21,7 (100%),0 (0%),48
124,10,21,7 (100%),0 (0%),48
125,10,21,7 (100%),0 (0%),48
126,10,19,7 (100%),0 (0%),53
127,9,22,7 (100%),0 (0%),41
128,9,22,7 (100%),0 (0%),41
129,9,22,7 (100%),0 (0%),41
130,9,22,7 (100%),0 (0%),41
131,7,20,7 (100%),0 (0%),35
132,7,20,7 (100%),0 (0%),35
133,7,19,7 (100%),0 (0%),37
134,7,19,7 (100%),0 (0%),37
135,7,19,7 (100%),0 (0%),37
136,7,17,7 (100%),0 (0%),41
137,6,18,7 (100%),0 (0%),33
138,6,24,7 (100%),0 (0%),25
139,5,22,7 (100%),0 (0%),23
140,3,20,7 (100%),0 (0%),15
141,6,23,8 (100%),0 (0%),26
142,5,23,8 (100%),0 (0%),22
143,4,23,8 (100%),0 (0%),17
144,4,22,8 (100%),0 (0%),18
145,4,21,8 (100%),0 (0%),19
146,3,18,8 (100%),0 (0%),17
147,3,18,8 (100%),0 (0%),17
148,3,17,8 (100%),0 (0%),18
149,3,16,8 (100%),0 (0%),19
150,6,21,8 (100%),0 (0%),29
151,6,20,8 (100%),0 (0%),30
152,5,22,8 (100%),0 (0%),23
153,5,21,8 (100%),0 (0%),24
154,5,21,8 (100%),0 (0%),24
155,5,20,8 (100%),0 (0%),25
156,5,20,8 (100%),0 (0%),25
157,7,21,9 (100%),0 (0%),33
158,7,20,9 (100%),0 (0%),35
159,7,19,9 (100%),0 (0%),37
160,7,20,9 (100%),0 (0%),35
161,6,23,9 (100%),0 (0%),26
162,6,23,9 (100%),0 (0%),26
163,5,22,9 (100%),0 (0%),23
164,2,22,9 (100%),0 (0%),9
165,2,21,9 (100%),0 (0%),10
166,5,23,10 (100%),0 (0%),22
167,5,21,10 (100%),0 (0%),24
168,5,20,10 (100%),0 (0%),25
169,5,20,10 (100%),0 (0%),25
170,5,20,10 (100%),0 (0%),25
171,5,23,10 (100%),0 (0%),22
172,4,22,10 (100%),0 (0%),18
173,4,22,10 (100%),0 (0%),18
174,5,22,10 (100%),0 (0%),23
175,5,24,10 (100%),0 (0%),21
176,5,25,10 (100%),0 (0%),20
177,5,25,10 (100%),0 (0%),20
178,5,25,10 (100%),0 (0%),20
179,5,25,10 (100%),0 (0%),20
180,5,25,10 (100%),0 (0%),20
181,2,25,10 (100%),0 (0%),8
182,1,24,10 (100%),0 (0%),4
183,1,24,10 (100%),0 (0%),4
184,1,24,10 (100%),0 (0%),4
185,1,23,10 (100%),0 (0%),4
186,1,21,10 (100%),0 (0%),5
187,3,21,11 (100%),0 (0%),14
188,3,20,11 (100%),0 (0%),15
189,3,20,11 (100%),0 (0%),15
190,3,20,11 (100%),0 (0%),15
191,3,22,11 (100%),0 (0%),14
192,2,20,11 (100%),0 (0%),10
193,2,23,11 (100%),0 (0%),9
194,2,23,11 (100%),0 (0%),9
195,2,23,11 (100%),0 (0%),9
196,2,23,11 (100%),0 (0%),9
197,2,20,11 (100%),0 (0%),10
198,2,24,11 (100%),0 (0%),8
199,2,23,11 (100%),0 (0%),9
200,1,24,11 (100%),0 (0%),4
201,1,25,11 (100%),0 (0%),4
202,1,25,11 (100%),0 (0%),4
203,1,23,11 (100%),0 (0%),4
204,1,23,11 (100%),0 (0%),4
205,1,25,11 (100%),0 (0%),4
206,1,24,11 (100%),0 (0%),4
207,1,23,11 (100%),0 (0%),4
208,4,25,12 (100%),0 (0%),16
209,3,23,12 (100%),0 (0%),13
210,1,23,12 (100%),0 (0%),4
